p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.0249633302746	0.0860274766385	Oxytocin signaling pathway - Homo sapiens (human)	KEGG	path:hsa04921	ENSG00000129467; ENSG00000065534; ENSG00000160014; ENSG00000092841; ENSG00000124762; ENSG00000077157; ENSG00000182621; ENSG00000081189; ENSG00000132356; ENSG00000167658	1026; 4637; 4638; 4660; 4208; 23236; 196883; 808; 1938; 5562	152	152
0.0273261829191	0.0921394132524	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	ENSG00000196924; ENSG00000065534; ENSG00000110799; ENSG00000197565; ENSG00000111245; ENSG00000118680; ENSG00000106631; ENSG00000213949; ENSG00000077157; ENSG00000041982; ENSG00000196569; ENSG00000118785	4633; 4638; 6696; 4660; 2316; 3672; 58498; 1288; 7450; 3371; 3908; 103910	199	199
0.0275595566425	0.0921394132524	Tyrosine metabolism - Homo sapiens (human)	KEGG	path:hsa00350	ENSG00000107165; ENSG00000189221; ENSG00000131471; ENSG00000069535	7306; 8639; 4128; 4129	36	36
0.0280891071002	0.092528823389	Hepatitis C - Homo sapiens (human)	KEGG	path:hsa05160	ENSG00000111331; ENSG00000134321; ENSG00000164342; ENSG00000124762; ENSG00000111335; ENSG00000157601; ENSG00000110651; ENSG00000089127; ENSG00000232810; ENSG00000055332	1026; 4938; 4939; 4940; 91543; 7098; 975; 7124; 5610; 4599	155	155
0.0289071329065	0.0935092721916	Tuberculosis - Homo sapiens (human)	KEGG	path:hsa05152	ENSG00000007171; ENSG00000160014; ENSG00000179344; ENSG00000117410; ENSG00000231389; ENSG00000163131; ENSG00000125730; ENSG00000125538; ENSG00000204287; ENSG00000136244; ENSG00000232810	3113; 3119; 3122; 533; 718; 4843; 808; 3553; 3569; 7124; 1520	179	178
0.0292216475599	0.0935092721916	Proteoglycans in cancer - Homo sapiens (human)	KEGG	path:hsa05205	ENSG00000196924; ENSG00000092820; ENSG00000137154; ENSG00000026508; ENSG00000124762; ENSG00000139329; ENSG00000147065; ENSG00000085733; ENSG00000077157; ENSG00000232810; ENSG00000100644; ENSG00000135404	1026; 3091; 7430; 6194; 4660; 2316; 4478; 960; 967; 7124; 4060; 2017	201	201
0.0297278847776	0.0937893829604	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	ENSG00000170606; ENSG00000231389; ENSG00000163131; ENSG00000179344; ENSG00000204287; ENSG00000232810	3113; 3119; 3122; 1520; 7124; 3308	77	73
0.0343889814991	0.106987942442	Transcriptional misregulation in cancer - Homo sapiens (human)	KEGG	path:hsa05202	ENSG00000169429; ENSG00000101017; ENSG00000164400; ENSG00000124762; ENSG00000148516; ENSG00000182578; ENSG00000149968; ENSG00000277775; ENSG00000136244; ENSG00000081189; ENSG00000163041	1026; 4208; 6935; 4314; 8968; 1436; 1437; 3569; 958; 3020; 3576	186	183
0.0354246600613	0.108700326764	Fluid shear stress and atherosclerosis - Homo sapiens (human)	KEGG	path:hsa05418	ENSG00000108691; ENSG00000160014; ENSG00000179776; ENSG00000115594; ENSG00000007908; ENSG00000125538; ENSG00000232810; ENSG00000081189; ENSG00000132356	6401; 4208; 6347; 808; 3553; 5562; 7124; 3554; 1003	139	139
0.0387171139119	0.11719775022	Glycine, serine and threonine metabolism - Homo sapiens (human)	KEGG	path:hsa00260	ENSG00000171766; ENSG00000189221; ENSG00000131471; ENSG00000069535	4128; 4129; 8639; 2628	40	40
0.04049165681	0.120935081672	Doxorubicin Pathway (Cardiomyocyte Cell), Pharmacodynamics	PharmGKB	PA165292164	ENSG00000169020; ENSG00000124172; ENSG00000007171	514; 521; 4843	24	24
0.0412855847948	0.121683828869	Cell adhesion molecules (CAMs) - Homo sapiens (human)	KEGG	path:hsa04514	ENSG00000038427; ENSG00000179344; ENSG00000179776; ENSG00000231389; ENSG00000007908; ENSG00000197646; ENSG00000204287; ENSG00000174059; ENSG00000101017	3113; 3119; 3122; 958; 6401; 947; 1462; 1003; 80380	144	143
0.0481099802773	0.139956306261	Glucagon signaling pathway - Homo sapiens (human)	KEGG	path:hsa04922	ENSG00000160014; ENSG00000117394; ENSG00000149923; ENSG00000111716; ENSG00000182621; ENSG00000100994; ENSG00000132356	3945; 6513; 23236; 5834; 808; 5531; 5562	103	103
