"DiseaseName","Regulator","Target","RegulationDiretion","ExpressionParttern","InfluencedFunction","RegulatoryMechanism","More Details"
"Hepatocellular carcinoma","SNHG1","miR-195","negatively-F","upregulation","cancer progression(+)","sponge","More Details"
"Hepatocellular carcinoma","MALAT1","SIRT1","positively-E","upregulation","cell migration(+);cell invasion(+)","ceRNA(miR-204)","More Details"
"Hepatocellular carcinoma","SNHG20","CDH1","negatively-E","upregulation","cell invasion(+);prognosis(-)","histone modification","More Details"
"Hepatocellular carcinoma","XIST","SMAD7","positively-E","downregulation","cell proliferation(+);cell metastasis(+)","ceRNA(miR-92b)","More Details"
"Hepatocellular carcinoma","MALAT1","EPAS1","positively-E","upregulation","tumor malignant transformation(+)","transcriptional regulation","More Details"
"Hepatocellular carcinoma","MEG3","ILF3","interact","downregulation","tumor-suppressive function(-)","interact with protein","More Details"
"Hepatocellular carcinoma","H19","ABCB1","negatively-E","upregulation","chemoresistance(+)","DNA methylation","More Details"
"Hepatocellular carcinoma","GAS5","PDCD4","positively-E","downregulation","cell migration(-);cell invasion(-)","ceRNA(miR-21)","More Details"
"Hepatocellular carcinoma","GAS5","PTEN","positively-E","downregulation","cell migration(-);cell invasion(-)","ceRNA(miR-21)","More Details"
"Hepatocellular carcinoma","MALAT1","CCAR2","interact","upregulation","cell proliferation(+);apoptosis process(-)","interact with protein","More Details"
"Hepatocellular carcinoma","MALAT1","TP53","negatively-E","upregulation","cell proliferation(+);apoptosis process(-)","histone modification","More Details"
"Hepatocellular carcinoma","TUG1","EZH2","interact","upregulation","cell growth(+);apoptosis process(+)","interact with protein","More Details"
"Hepatocellular carcinoma","TUG1","SUZ12","interact","upregulation","cell growth(+);apoptosis process(+)","interact with protein","More Details"
"Hepatocellular carcinoma","MEG3","DNMT1","interact","upregulation","cell proliferation(-);prognosis(+)","interact with protein","More Details"
"Hepatocellular carcinoma","SNHG20","EZH2","interact","upregulation","cell invasion(+);prognosis(-)","interact with protein","More Details"
"Her2-receptor positive breast cancer","GAS5","PTEN","positively-E","downregulation","chemoresistance(+);cell proliferation(+)","ceRNA(miR-21)","More Details"
"Idiopathic pulmonary fibrosis","H19","COL1A1","positively-E","upregulation","fibrotic(+)","ceRNA(miR-196a)","More Details"
"Immune thrombocytopenia","MEG3","miR-125a-5p","negatively-F","upregulation","immune response(+)","sponge","More Details"
"Invasive bladder transitional cell carcinoma","MALAT1","FOXQ1","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-124)","More Details"
"Ischemic stroke","MEG3","PDCD4","positively-E","upregulation","cell death(+)","ceRNA(miR-21)","More Details"
"Kidney disease","MALAT1","ELAVL1","negatively-E","upregulation","apoptosis process(-)","ceRNA(miR-23c)","More Details"
"Kidney injury","NEAT1","miR-204","negatively-F","upregulation","NF-kB signaling pathway(+)","sponge","More Details"
"Klatskin's tumor","MALAT1","CXCR4","positively-E","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","ceRNA(miR-204-5p)","More Details"
"Laryngeal squamous cell carcinoma","SNHG1","YAP1","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-375)","More Details"
"Laryngeal squamous cell carcinoma","H19","DNMT1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-148a-3p)","More Details"
"Laryngeal squamous cell carcinoma","NEAT1","CDK6","positively-E","upregulation","tumorigenesis(+)","ceRNA(miR-107)","More Details"
"Liver cancer","MALAT1","TERF2","positively-E","upregulation","cell growth(+)","transcriptional regulation","More Details"
"Liver fibrosis","MEG3","SMO","interact","downregulation","epithelial to mesenchymal transition(-)","interact with protein","More Details"
"Liver fibrosis","NEAT1","KLF6","positively-E","upregulation","fibrotic(+)","ceRNA(miR-122)","More Details"
"Liver fibrosis","H19","EPCAM","positively-E","upregulation","fibrotic(+)","transcriptional regulation","More Details"
"Liver fibrosis","GAS5","CDKN1B","positively-E","downregulation","cell proliferation(-)","ceRNA(miR-222)","More Details"
"Lung adenocarcinoma","NNT-AS1","miR-129-5p","negatively-F","upregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Lung adenocarcinoma","SNHG6","E2F7","positively-E","upregulation","cell motility(+);epithelial to mesenchymal transition(+)","ceRNA(miR-26a-5p)","More Details"
"Lung adenocarcinoma","OIP5-AS1","BCL2","positively-E","upregulation","oncogenic role(+)","ceRNA(miR-448)","More Details"
"Lung adenocarcinoma","NEAT1","USF1","positively-E","upregulation","tumorigenesis(+);cancer progression(+)","ceRNA(miR-193a-3p)","More Details"
"Lung adenocarcinoma","MALAT1","SP1","positively-F","upregulation","tumorigenesis(+)","interact with protein","More Details"
"Lung adenocarcinoma","CYTOR","IL24","negatively-E","upregulation","cell proliferation(+)","histone modification","More Details"
"Lung adenocarcinoma","XIST","BAG1","positively-E","upregulation","chemoresistance(+)","ceRNA(let-7i)","More Details"
"Lung adenocarcinoma","CYTOR","EZH2","interact","upregulation","cell proliferation(+)","interact with protein","More Details"
"Lung cancer","OIP5-AS1","miR-378a-3p","negatively-F","upregulation","prognosis;cell proliferation(+)","sponge","More Details"
"Lung cancer","H19","miR-484","negatively-F","downregulation","epithelial to mesenchymal transition(+)","sponge","More Details"
"Lung cancer","XIST","PPP1R13L","positively-E","upregulation","cell growth(+)","ceRNA(miR-140)","More Details"
"Lung cancer","MEG3","CDH1","negatively-E","upregulation","epithelial to mesenchymal transition(+)","histone modification","More Details"
"Lung cancer","MEG3","miR-200b","negatively-E","upregulation","epithelial to mesenchymal transition(+)","histone modification","More Details"
"Lung cancer","MEG3","miR-200a","negatively-E","upregulation","epithelial to mesenchymal transition(+)","histone modification","More Details"
"Lung cancer","MEG3","miR-429","negatively-E","upregulation","epithelial to mesenchymal transition(+)","histone modification","More Details"
"Lung cancer","MEG3","miR-200c","negatively-E","upregulation","epithelial to mesenchymal transition(+)","histone modification","More Details"
"Lung cancer","MEG3","miR-141","negatively-E","upregulation","epithelial to mesenchymal transition(+)","histone modification","More Details"
"Lung cancer","MEG3","JUN","interact","downregulation","tumor malignant transformation(-)","interact with protein","More Details"
"Lung cancer","MEG3","JARID2","interact","upregulation","epithelial to mesenchymal transition(+)","interact with protein","More Details"
"Lung cancer","MEG3","EZH2","interact","upregulation","epithelial to mesenchymal transition(+)","interact with protein","More Details"
"Malignant glioma","CCDC26","miR-203","negatively-F","upregulation","cell growth(+);cell migration(+)","sponge","More Details"
"Malignant glioma","SNHG12","ELAVL1","interact","upregulation","cell proliferation(+);cell migration(+)","interact with protein","More Details"
"Malignant glioma","NEAT1","CDK14","positively-E","upregulation","cancer progression(+)","ceRNA(miR-107)","More Details"
"Malignant glioma","SNHG12","FOXP1","positively-E","upregulation","tumorigenesis(+)","ceRNA(miR-101-3p)","More Details"
"Malignant glioma","H19","miR-152","negatively-F","upregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Malignant glioma","CYTOR","BMI1","positively-E","upregulation","cell proliferation(+);cell invasion(+)","ceRNA(miR-16)","More Details"
"Malignant glioma","SNHG16","PRMT5","positively-E","upregulation","oncogenic role(+)","ceRNA(miR-4518)","More Details"
"Malignant glioma","SNHG15","VEGFA","positively-E","upregulation","angiogenesis(-)","ceRNA(miR-153)","More Details"
"Malignant glioma","SNHG15","CDC42","positively-E","upregulation","angiogenesis(-)","ceRNA(miR-153)","More Details"
"Malignant glioma","GAS5","FOXO1","positively-E","downregulation","cell stemness(-);tumor malignant transformation(-)","ceRNA(miR-196a-5p)","More Details"
"Malignant glioma","MEG3","miR-93","negatively-F","downregulation","cell growth(-);PI3K/AKT signaling pathway(-)","sponge","More Details"
"Malignant glioma","XIST","miR-29c","negatively-F","upregulation","chemoresistance(+);DNA repair(+)","sponge","More Details"
"Malignant glioma","MALAT1","RAP1B","positively-E","upregulation","cell proliferation(+);apoptosis process(-)","ceRNA(miR-101)","More Details"
"Malignant glioma","H19","SOX4","positively-E","upregulation","epithelial to mesenchymal transition(+)","ceRNA(miR-130a-3p)","More Details"
"Malignant glioma","SNHG16","E2F1","positively-E","upregulation","tumorigenesis(+)","ceRNA(miR-20a-5p)","More Details"
"Malignant glioma","GAS5","miR-18a-5p","negatively-F","downregulation","cell proliferation(-);cell migration(-);cell invasion(-)","sponge","More Details"
"Malignant glioma","MALAT1","STMN1","positively-E","upregulation","cell autophagy(+);cell proliferation(+)","ceRNA(miR-101)","More Details"
"Malignant glioma","MALAT1","RAB5A","positively-E","upregulation","cell autophagy(+);cell proliferation(+)","ceRNA(miR-101)","More Details"
"Malignant glioma","MALAT1","ATG4D","positively-E","upregulation","cell autophagy(+);cell proliferation(+)","ceRNA(miR-101)","More Details"
"Malignant glioma","XIST","RAC1","positively-E","upregulation","cell proliferation(-)","ceRNA(miR-137)","More Details"
"Malignant glioma","FTX","MTDH","positively-E","upregulation","cell proliferation(+);cell invasion(+)","ceRNA(miR-342-3p)","More Details"
"Malignant glioma","KCNQ1OT1","CCNE2","positively-E","upregulation","tumor-suppressive function(-)","ceRNA(miR-370)","More Details"
"Malignant glioma","H19","VASH2","positively-E","upregulation","cell proliferation(+);cell migration(+)","ceRNA(miR-29a)","More Details"
"Malignant glioma","NEAT1","NRAS","positively-E","upregulation","tumorigenesis(+)","ceRNA(let-7e)","More Details"
"Malignant glioma","CYTOR","FEZF1","positively-E","upregulation","cancer progression(+)","ceRNA(miR-103a-3p)","More Details"
"Malignant glioma","TUG1","PTEN","positively-E","upregulation","tumor-suppressive function(+)","ceRNA(miR-26a)","More Details"
"Malignant glioma","GAS5","miR-222","negatively-F","downregulation","tumor-suppressive function(+)","sponge","More Details"
"Malignant glioma","MEG3","PTEN","positively-E","downregulation","cell proliferation(-);cell migration(-);cell invasion(-)","ceRNA(miR-19a-3p)","More Details"
"Malignant glioma","TUG1","miR-145-5p","negatively-F","upregulation","self-renewal(+)","sponge","More Details"
"Malignant glioma","H19","PPP1R13L","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-140-5p)","More Details"
"Malignant glioma","NEAT1","MET","positively-E","upregulation","cell proliferation(+);cell invasion(+);cell migration(+)","ceRNA(miR-449b-5p)","More Details"
"Mantle cell lymphoma","MALAT1","EZH2","positively-F","upregulation","cell proliferation(+);apoptosis process(-)","interact with protein","More Details"
"Mantle cell lymphoma","MALAT1","CDKN1A","negatively-E","upregulation","cell proliferation(+);apoptosis process(-)","histone modification","More Details"
"Mantle cell lymphoma","MALAT1","CDKN1B","negatively-E","upregulation","cell proliferation(+);apoptosis process(-)","histone modification","More Details"
"Medulloblastoma","MIR100HG","CDK6","positively-E","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","ceRNA(miR-19a-3p;miR-19b-3p;miR-106a-5p)","More Details"
"Medulloblastoma","MIR100HG","MYCN","positively-E","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","ceRNA(miR-19a-3p;miR-19b-3p;miR-106a-5p)","More Details"
"Medulloblastoma","MIR100HG","SNCAIP","positively-E","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","ceRNA(miR-19a-3p;miR-19b-3p;miR-106a-5p)","More Details"
"Medulloblastoma","MIR100HG","KDM6A","positively-E","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","ceRNA(miR-19a-3p;miR-19b-3p;miR-106a-5p)","More Details"
"Melanoma","H19","E2F3","positively-E","upregulation","glucose metabolic process(+);cell growth(+)","ceRNA(miR-106a-5p)","More Details"
"Melanoma","BANCR","NOTCH2","positively-E","upregulation","cell growth(+);cell invasion(+)","ceRNA(miR-204)","More Details"
"Melanoma","MALAT1","MMP14","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-22)","More Details"
"Melanoma","MALAT1","SNAI1","positively-E","upregulation","cell growth(+);cell metastasis(+)","ceRNA(miR-22)","More Details"
"Melanoma","MALAT1","ITGB1","positively-E","upregulation","tumorigenesis(+)","ceRNA(miR-183)","More Details"
"Metabolic syndrome","MEG3","HDAC7","positively-E","downregulation","cell protection(+)","ceRNA(miR-140-5p)","More Details"
"Multiple myeloma","CYTOR","miR-497","negatively-F","upregulation","cancer progression(+)","sponge","More Details"
"Multiple myeloma","RMRP","MYC","positively-E","upregulation","cell proliferation(+);apoptosis process(-)","ceRNA(miR-34a-5p)","More Details"
"Multiple myeloma","MALAT1","KEAP1","positively-E","downregulation","tumor-suppressive function(-)","epigenetic regulation","More Details"
"Multiple myeloma","NEAT1","MCL1","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-193a)","More Details"
"Multiple myeloma","MALAT1","HMGB1","positively-E","upregulation","cell autophagy(+);apoptosis process(-)","protein stability","More Details"
"Multiple myeloma","MEG3","HOXA11","positively-E","upregulation","cancer progression(-)","ceRNA(miR-181a)","More Details"
"Multiple myeloma","OIP5-AS1","KLF10","positively-E","downregulation","PTEN/PI3K/AKT signaling pathway(-);cell proliferation(-);apoptosis process(+)","ceRNA(miR-410)","More Details"
"Multiple myeloma","MEG3","BMP4","negatively-E","downregulation","cell differentiation(+)","transcriptional regulation","More Details"
"Multiple myeloma","MALAT1","LTBP3","positively-E","upregulation","biomarker(+)","transcriptional regulation","More Details"
"Multiple myeloma","MALAT1","SP1","interact","upregulation","biomarker;tumor-suppressive function(-)","interact with protein","More Details"
"Multiple myeloma","MALAT1","EZH2","interact","upregulation","tumor-suppressive function(-)","interact with protein","More Details"
"Multiple myeloma","MALAT1","miR-29a","positively-E","upregulation","tumor-suppressive function(-)","histone modification","More Details"
"Multiple myeloma","MALAT1","miR-29b","positively-E","upregulation","tumor-suppressive function(-)","histone modification","More Details"
"Myocardial infarction","XIST","PDE4D","positively-E","upregulation","apoptosis process(+);cell proliferation(-)","ceRNA(miR-130a-3p)","More Details"
"Myocardial infarction","H19","FADD","positively-E","upregulation","myocardial necrosis(-)","ceRNA(miR-103a-3p;miR-107)","More Details"
"Nasopharynx carcinoma","XIST","miR-29c","negatively-F","upregulation","radioresistance(-);cell proliferation(+)","sponge","More Details"
"Nasopharynx carcinoma","MALAT1","CAPNS1","positively-E","upregulation","cell proliferation(+);cell invasion(+);epithelial to mesenchymal transition(+)","ceRNA(miR-124)","More Details"
"Nasopharynx carcinoma","MALAT1","SNAI2","positively-E","upregulation","radioresistance(+)","ceRNA(miR-1)","More Details"
"Nasopharynx carcinoma","H19","EZH2","positively-E","upregulation","cell invasion(+)","ceRNA(miR-630)","More Details"
"Nasopharynx carcinoma","NEAT1","ZEB1","positively-E","upregulation","epithelial to mesenchymal transition(+);radioresistance(-)","ceRNA(miR-204-5p)","More Details"
"Non-small cell lung cancer","MALAT1","STAT3","positively-E","upregulation","cancer progression(+)","ceRNA(miR-124)","More Details"
"Non-small cell lung cancer","NEAT1","IGF2","positively-E","upregulation","cancer progression(+);cell proliferation(+);cell metastasis(+)","ceRNA(let-7a)","More Details"
"Non-small cell lung cancer","TUG1","HOXB7","negatively-E","downregulation","cell proliferation(-)","histone modification","More Details"
"Non-small cell lung cancer","TUG1","EZH2","interact","downregulation","cell proliferation(-)","interact with protein","More Details"
"Non-small cell lung cancer","SNHG16","MUC5AC","positively-E","upregulation","cancer progression(+);prognosis","ceRNA(miR-146a)","More Details"
"Non-small cell lung cancer","MIR4435-2HG","miR-6754-5p","negatively-F","upregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Non-small cell lung cancer","SNHG12","miR-138","positively-E","upregulation","cell growth(-);apoptosis process(+)","sponge","More Details"
"Non-small cell lung cancer","SNHG7","FAIM2","positively-E","upregulation","cancer progression(+)","ceRNA(miR-193b)","More Details"
"Non-small cell lung cancer","XIST","ATG7","negatively-E","upregulation","chemoresistance(-);cell autophagy(-)","ceRNA(miR-17)","More Details"
"Non-small cell lung cancer","NEAT1","MAPK6","positively-E","upregulation","cancer progression(+)","ceRNA(miR-98-5p)","More Details"
"Non-small cell lung cancer","SNHG20","CDKN1A","negatively-E","upregulation","cell proliferation(+);cell migration(+)","histone modification","More Details"
"Non-small cell lung cancer","GAS5","miR-135b","negatively-F","downregulation","tumorigenesis(-);radiosensitivity(+)","sponge","More Details"
"Non-small cell lung cancer","GAS5","PTEN","positively-E","downregulation","chemosensitivity(+)","ceRNA(miR-21)","More Details"
"Non-small cell lung cancer","H19","miR-21","negatively-F","upregulation","prognosis(-)","sponge","More Details"
"Non-small cell lung cancer","GAS5","miR-23a","negatively-F","downregulation","tumorigenesis(-)","sponge","More Details"
"Non-small cell lung cancer","LINC00630","HDAC1","positively-F","upregulation","cell metastasis(+)","interact with protein","More Details"
"Non-small cell lung cancer","LINC00630","DDX23","positively-F","upregulation","cell metastasis(+)","interact with protein","More Details"
"Non-small cell lung cancer","XIST","LARP1","positively-E","upregulation","oncogenic role(+)","ceRNA(miR-374a)","More Details"
"Non-small cell lung cancer","SNHG1","MTDH","positively-E","upregulation","cancer progression(+)","ceRNA(miR-145-5p)","More Details"
"Non-small cell lung cancer","XIST","NOTCH1","positively-E","upregulation","cell proliferation(+);epithelial to mesenchymal transition(+)","ceRNA(miR-137)","More Details"
"Non-small cell lung cancer","MEG3","SKP2","positively-E","downregulation","cell growth(-)","ceRNA(miR-3163)","More Details"
"Non-small cell lung cancer","LUCAT1","CDKN1A","negatively-E","upregulation","cell proliferation(+);cell growth(+);cell apoptosis(-)","histone modification","More Details"
"Non-small cell lung cancer","LUCAT1","CDKN1C","negatively-E","upregulation","cell proliferation(+);cell growth(+);cell apoptosis(-)","histone modification","More Details"
"Non-small cell lung cancer","SNHG1","SOX9","positively-E","upregulation","WNT/beta-catenin signaling pathway(+);cancer progression(+)","ceRNA(miR-101-3p)","More Details"
"Non-small cell lung cancer","XIST","KLF2","negatively-E","upregulation","cell growth(+);cell metastasis(+)","histone modification","More Details"
"Non-small cell lung cancer","XIST","miR-186-5p","negatively-F","upregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Non-small cell lung cancer","NEAT1","E2F3","positively-E","upregulation","oncogenic role(+)","ceRNA(miR-377-3p)","More Details"
"Non-small cell lung cancer","TUG1","CELF1","negatively-E","downregulation","cell proliferation(-)","histone modification","More Details"
"Non-small cell lung cancer","XIST","BCL2","positively-E","upregulation","cell proliferation(-);cell migration(-);cell invasion(-);apoptosis process(+)","ceRNA(miR-449a)","More Details"
"Non-small cell lung cancer","LUCAT1","EZH2","interact","upregulation","cell proliferation(+)","interact with protein","More Details"
"Non-small cell lung cancer","TUG1","EED","interact","downregulation","cell proliferation(-)","interact with protein","More Details"
"Non-small cell lung cancer","SNHG20","EZH2","interact","upregulation","cell proliferation(+);cell migration(+)","interact with protein","More Details"
"Non-small cell lung cancer","XIST","EZH2","interact","upregulation","oncogenic role(+)","interact with protein","More Details"
"Oral squamous cell carcinoma","H19","EZH2","positively-E","upregulation","cell proliferation(+);cell invasion(+)","ceRNA(miR-138)","More Details"
"Osteoarthritis","MALAT1","miR-127-5p","negatively-F","upregulation","cell proliferation(+);PI3K/AKT signaling pathway(+)","sponge","More Details"
"Osteoarthritis","NEAT1","SPP1","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-181c)","More Details"
"Osteosarcoma","SNHG12","MCL1","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-320a)","More Details"
"Osteosarcoma","OIP5-AS1","CDK14","positively-E","upregulation","tumorigenesis(+)","ceRNA(miR-223)","More Details"
"Osteosarcoma","TUG1","miR-219a-5p","negatively-F","upregulation","cell proliferation(+);cell migration(+);cell invasion(+)","sponge","More Details"
"Osteosarcoma","NEAT1","BCL2","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-34c)","More Details"
"Osteosarcoma","NEAT1","CCND1","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-34c)","More Details"
"Osteosarcoma","SNHG20","RUNX2","positively-E","upregulation","tumorigenesis(+);apoptosis process(-)","ceRNA(miR-139)","More Details"
"Osteosarcoma","TUG1","SOX4","positively-E","upregulation","cell proliferation(+);apoptosis process(-)","ceRNA(miR-132-3p)","More Details"
"Osteosarcoma","SNHG12","NOTCH2","positively-E","upregulation","tumorigenesis(+);cell metastasis(+)","ceRNA(miR-195-5p)","More Details"
"Osteosarcoma","LUCAT1","ABCB1","positively-E","upregulation","chemoresistance(+);cell proliferation(+);cell invasion(+)","ceRNA(miR-200c)","More Details"
"Osteosarcoma","TUG1","FOXA1","positively-E","downregulation","cell proliferation(+);apoptosis process(-)","ceRNA(miR-212-3p)","More Details"
"Osteosarcoma","GAS5","TIMP2","positively-E","downregulation","cell growth(-);cell metastasis(-)","ceRNA(miR-203a)","More Details"
"Osteosarcoma","SNHG1","NOB1","positively-E","upregulation","tumorigenesis(+);cell growth(+);cell migration(+);cell invasion(+)","ceRNA(miR-326)","More Details"
"Osteosarcoma","MIR210HG","miR-503","negatively-F","upregulation","cell invasion(+);cell metastasis(+)","sponge","More Details"
"Osteosarcoma","GAS5","DIRAS3","positively-E","downregulation","cell growth(-);epithelial to mesenchymal transition(-)","ceRNA(miR-221)","More Details"
"Osteosarcoma","XIST","PDCD4","positively-E","downregulation","cell growth(-);cell metastasis(-)","ceRNA(miR-21-5p)","More Details"
"Osteosarcoma","XIST","CDKN1A","negatively-E","upregulation","cell proliferation(+)","histone modification","More Details"
"Osteosarcoma","SNHG15","miR-141","negatively-F","upregulation","cell proliferation(+);cell invasion(+);cell autophagy(-)","sponge","More Details"
"Osteosarcoma","MALAT1","EZH2","interact","upregulation","cell metastasis(+)","interact with protein","More Details"
"Osteosarcoma","SNHG1","WNT2B","positively-E","upregulation","cancer progression(+)","ceRNA(miR-577)","More Details"
"Osteosarcoma","SNHG16","ZEB1","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-205)","More Details"
"Osteosarcoma","MEG3","ZEB1","positively-E","upregulation","cell growth(+);cell metastasis(+);apoptosis process(-);JNK/WNT signaling pathway(+)","ceRNA(miR-127)","More Details"
"Osteosarcoma","MALAT1","CDK9","positively-E","upregulation","cancer progression(+)","ceRNA(miR-206)","More Details"
"Osteosarcoma","XIST","RSF1","positively-E","upregulation","cell proliferation(+);cell invasion(+);oncogenic role(+)","ceRNA(miR-193a-3p)","More Details"
"Osteosarcoma","TUG1","miR-153","negatively-F","downregulation","cell proliferation(+);cell invasion(+)","sponge","More Details"
"Osteosarcoma","NEAT1","miR-194","negatively-F","upregulation","cell proliferation(+);cell invasion(+);apoptosis process(-)","sponge","More Details"
"Osteosarcoma","TUG1","EZH2","positively-E","upregulation","tumorigenesis(+);cell migration(+);epithelial to mesenchymal transition(+)","ceRNA(miR-144-3p)","More Details"
"Osteosarcoma","MALAT1","HMGB1","positively-E","upregulation","cell growth(+);apoptosis process(-)","ceRNA(miR-142-3p;miR-129-5p)","More Details"
"Osteosarcoma","TUG1","ROCK1","positively-E","upregulation","cell proliferation(+);cell invasion(+)","ceRNA(miR-335-5p)","More Details"
"Osteosarcoma","MALAT1","TGFA","positively-E","upregulation","cell proliferation(+);cancer progression(+)","ceRNA(miR-376a)","More Details"
"Osteosarcoma","H19","ZEB1","positively-E","upregulation","cell metastasis(+)","ceRNA(miR-200s)","More Details"
"Osteosarcoma","H19","ZEB2","positively-E","upregulation","cell metastasis(+)","ceRNA(miR-200s)","More Details"
"Osteosarcoma","TUG1","miR-9-5p","negatively-F","upregulation","tumorigenesis(+)","sponge","More Details"
"Osteosarcoma","MALAT1","RET","positively-E","upregulation","PI3K/AKT signaling pathway(+);cell stemness(+)","ceRNA(miR-129-5p)","More Details"
"Osteosarcoma","MALAT1","CDH1","negatively-E","upregulation","cell metastasis(+)","histone modification","More Details"
"Osteosarcoma","MALAT1","ROCK1","positively-E","upregulation","cell growth(+);cell metastasis(+);cell proliferation(+)","ceRNA(miR-144-3p)","More Details"
"Osteosarcoma","MALAT1","ROCK2","positively-E","upregulation","cell growth(+);cell metastasis(+);cell proliferation(+)","ceRNA(miR-144-3p)","More Details"
"Osteosarcoma","XIST","EZH2","interact","upregulation","cell proliferation(+)","interact with protein","More Details"
"Ovarian cancer","GAS5","HOXA5","positively-E","downregulation","cancer progression(-)","ceRNA(miR-196a-5p)","More Details"
"Ovarian cancer","NEAT1","miR-506","negatively-F","upregulation","cell proliferation(+);cell migration(+)","sponge","More Details"
"Ovarian cancer","MALAT1","miR-200c","negatively-F","upregulation","cell viability(+);cell migration(+);cell invasion(+)","sponge","More Details"
"Ovarian cancer","NEAT1","ROCK1","positively-E","upregulation","cell metastasis(+)","ceRNA(miR-382-3p)","More Details"
"Ovarian cancer","GAS5","SPRY2","positively-E","downregulation","cell proliferation(+)","ceRNA(miR-21)","More Details"
"Ovarian cancer","MEG3","miR-214","negatively-F","NA","chemoresistance(+)","sponge","More Details"
"Ovarian cancer","MALAT1","PPP1R13L","positively-E","upregulation","cell growth(+)","ceRNA(miR-506)","More Details"
"Pancreatic cancer","GAS5","PTEN","positively-E","downregulation","cell metastasis(-)","ceRNA(miR-32-5p)","More Details"
"Pancreatic cancer","XIST","PPP1R13L","positively-E","upregulation","cell growth(+)","ceRNA(miR-140;miR-124)","More Details"
"Pancreatic cancer","NORAD","RHOA","positively-E","upregulation","epithelial to mesenchymal transition(+);cell metastasis(+)","ceRNA(miR-125a-3p)","More Details"
"Pancreatic cancer","XIST","EGFR","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-133a)","More Details"
"Pancreatic cancer","H19","HMGA2","negatively-E","upregulation","cell metastasis(+)","ceRNA(let-7)","More Details"
"Pancreatic cancer","MALAT1","CDH1","negatively-E","upregulation","cell migration(+);cell invasion(+)","histone modification","More Details"
"Pancreatic cancer","NEAT1","miR-506-3p","negatively-F","upregulation","cell proliferation(+);apoptosis process(-)","sponge","More Details"
"Pancreatic cancer","MALAT1","EZH2","interact","upregulation","cell migration(+);cell invasion(+)","interact with protein","More Details"
"Pancreatic carcinoma","TUG1","EZH2","positively-E","upregulation","cell proliferation(+);cell migration(+);epithelial to mesenchymal transition(+)","ceRNA(miR-382)","More Details"
"Pancreatic ductal adenocarcinoma","MALAT1","ELAVL1","interact","upregulation","cell autophagy(+)","interact with protein","More Details"
"Pancreatic neuroendocrine tumor","MEG3","BRI3","positively-E","downregulation","cell growth(-);cell metastasis(-)","ceRNA(miR-183)","More Details"
"Pancreatic neuroendocrine tumor","MEG3","MET","negatively-E","downregulation","cell proliferation(-)","transcriptional regulation","More Details"
"Papillary thyroid carcinoma","SNHG15","YAP1","positively-E","upregulation","Hippo signaling pathway(+)","ceRNA(miR-200a-3p)","More Details"
"Papillary thyroid carcinoma","TUG1","miR-145","negatively-F","upregulation","cell proliferation(+);cell migration(+);epithelial to mesenchymal transition(+)","sponge","More Details"
"Papillary thyroid carcinoma","BANCR","TSHR","negatively-E","upregulation","cell proliferation(+)","histone modification","More Details"
"Papillary thyroid carcinoma","MEG3","RAC1","negatively-F","downregulation","cell migration(-);cell invasion(-)","interact with mRNA","More Details"
"Papillary thyroid carcinoma","BANCR","EZH2","interact","upregulation","cell proliferation(+)","interact with protein","More Details"
"Parkinson's disease","SNHG1","GSK3B","positively-E","upregulation","cytotoxicity(+)","ceRNA(miR-15b-5p)","More Details"
"Parkinson's disease","SNHG1","SIAH1","positively-E","upregulation","apoptosis process(-);cytotoxicity(+)","ceRNA(miR-15b-5p)","More Details"
"Pituitary cancer","SNHG1","TGFBR2","positively-E","upregulation","cancer progression(+)","ceRNA(miR-302;miR-372;miR-373;miR-520)","More Details"
"Pituitary cancer","SNHG1","RAB11A","positively-E","upregulation","cancer progression(+)","ceRNA(miR-302;miR-372;miR-373;miR-520)","More Details"
"Prostate cancer","GAS5","CDKN1B","positively-E","downregulation","cell proliferation(-)","transcriptional regulation","More Details"
"Prostate cancer","SNHG7","CCND1","positively-E","upregulation","cell proliferation(+)","ceRNA(miR-503)","More Details"
"Prostate cancer","MALAT1","AKAP12","positively-E","upregulation","chemoresistance(+)","ceRNA(miR-145-5p)","More Details"
