From	To	Species	Gene Name
ENSG00000112562	AK315920	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	NM_001166412	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	BC028420	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	NM_022138	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AI032288	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	AK314613	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000112562	BC047583	Homo sapiens	SPARC related modular calcium binding 2(SMOC2)
ENSG00000005483	NM_182931	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AF519459	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY234382	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AK000940	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC024658	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	JQ809698	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	NM_032187	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AK024088	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC053906	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY157990	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC009061	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	NM_018682	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	XR_001744836	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY195569	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC001296	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY195568	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY147037	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC016382	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	XM_005250493	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY222296	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC142987	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AF067804	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY438698	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY438699	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC040004	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC040848	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	XM_017012435	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY211525	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	BC062583	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	AY113691	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000005483	XM_011516400	Homo sapiens	lysine methyltransferase 2E(KMT2E)
ENSG00000134250	XM_011541519	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	DB290699	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	AF308601	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	AF315356	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	AK027869	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	BC071562	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	AL133036	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	NM_001200001	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	XM_017001372	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	XM_017001373	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	U77493	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	XM_005270901	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	XM_011541520	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	AL049386	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	NM_024408	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	AK307843	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	BG718124	Homo sapiens	notch 2(NOTCH2)
ENSG00000134250	GQ231534	Homo sapiens	notch 2(NOTCH2)
ENSG00000087245	DB059054	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	NM_001302508	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	NM_001302509	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AL542407	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DA739456	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AK301536	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	BQ004983	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	BP341649	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DQ895138	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AK312711	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	BC002576	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DQ385623	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AU133104	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DB154582	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DA579926	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AL832088	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	X58968	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AU279927	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	BX357054	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DQ891952	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AL046162	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	NM_001302510	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	J03210	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	DA993141	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	NM_004530	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	NM_001127891	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	AK310314	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000087245	CA446916	Homo sapiens	matrix metallopeptidase 2(MMP2)
ENSG00000131023	NM_004690	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	NR_073033	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011482	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	AK310422	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011480	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011481	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011474	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011475	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011476	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011478	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011477	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_006715603	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_017011479	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	AF164041	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	BC002767	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	NM_001270519	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	XM_011536252	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	BC015665	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	AF104413	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000131023	AW021064	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000181722	BF327758	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK129968	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BC090936	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NR_121662	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BC015587	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BC016962	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AL050276	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BG993862	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AL049423	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_001164346	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_001164345	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_001164344	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK225788	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AF139460	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_001164343	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_001164342	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK315307	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BX647778	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK022228	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK023302	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK091904	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BC029041	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_001164347	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	HG495949	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	CB164748	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AM392598	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	EU446790	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	DB131355	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BC010934	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	DB268190	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	DA120543	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK290116	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	NM_015642	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	AK001020	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BC035518	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000181722	BX648237	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000082438	BX648994	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AL832824	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	BX537877	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AK002054	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	NM_001278458	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AK001813	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AK002057	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	NM_014900	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	CB989062	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AK225849	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	NM_001278460	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	BX649112	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AL049939	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	NM_001278461	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	BC006264	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AK294937	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	BC071588	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AK075181	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AI261693	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000082438	AB023194	Homo sapiens	cordon-bleu WH2 repeat protein like 1(COBLL1)
ENSG00000147862	EU832141	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BX537698	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AK094066	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AL110126	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BC001283	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AK299605	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XR_001746309	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XR_001746308	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AI140312	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_005251470	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_005251471	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	DA785516	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	EU832234	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_017014740	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BC024316	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_017014741	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_017014742	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AK290603	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BP372854	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	U07810	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	KU178233	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	KU178232	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	DQ891097	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AF022215	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	NM_005596	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	NM_001282787	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	DA783871	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	U85193	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AK131233	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	CD251577	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_017014739	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	NM_001190737	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	NM_001190738	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BT007266	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BX648416	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_005251469	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	DQ894279	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_005251468	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	AK129782	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_005251467	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	U70862	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_006716773	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BX648845	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_006716775	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	XM_006716774	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000147862	BX537707	Homo sapiens	nuclear factor I B(NFIB)
ENSG00000055609	DA266956	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AL833924	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	CD513584	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	BC151837	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012489	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	BU623509	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XR_428183	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_005250031	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012482	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012481	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012484	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012483	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012486	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012485	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012488	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012487	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AL832387	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AK095628	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_006716079	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012480	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_006716078	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AF264750	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_006716077	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	BP281562	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AK075113	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AK022687	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_011516456	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_011516454	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_011516453	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_011516452	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	BX640742	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_011516451	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_011516450	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	NM_021230	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AK025911	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	NM_170606	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_005250028	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_005250027	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AK025553	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_005250026	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	BC011921	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_005250025	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AB040939	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	BU685177	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	AY024361	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000055609	XM_017012490	Homo sapiens	lysine methyltransferase 2C(KMT2C)
ENSG00000174749	BI463956	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000174749	XM_017007732	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000174749	BC041964	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000174749	AI634637	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000174749	BC022534	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000174749	AK096689	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000174749	NM_152400	Homo sapiens	chromosome 4 open reading frame 32(C4orf32)
ENSG00000163864	XM_017006331	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006330	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	DQ893959	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	BC034374	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	NM_001200047	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	HY004197	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	AF345564	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006339	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	AK127477	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006338	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006337	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006336	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	BX649063	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006335	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006334	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006333	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006332	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	AA894638	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	NM_001320510	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	NM_001320511	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	NM_001320512	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	NM_001320513	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	BC036218	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	DQ890804	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	DB454216	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_011512790	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_011512791	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006328	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006343	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006344	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006329	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006341	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006342	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	AK123208	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	NM_178177	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000163864	XM_017006340	Homo sapiens	nicotinamide nucleotide adenylyltransferase 3(NMNAT3)
ENSG00000173517	AK025943	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522037	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_005254671	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522036	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522039	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_005254670	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522038	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522033	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	NM_024776	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_005254675	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_005254674	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522035	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_005254673	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522034	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522040	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522041	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	XM_011522042	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AF086416	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	BC172320	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AF088077	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	AB082533	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
ENSG00000173517	BX953442	Homo sapiens	pseudopodium enriched atypical kinase 1(PEAK1)
